Borough,Stop Name,Daytime Routes
Q,Astoria-Ditmars Blvd,N W
Q,Astoria Blvd,N W
Q,30 Av,N W
Q,Broadway,N W
Q,36 Av,N W
Q,39 Av-Dutch Kills,N W
M,Lexington Av/59 St,4 5 6 N R W
M,5 Av/59 St,N R W
M,57 St-7 Av,N Q R W
M,49 St,N R W
M,Times Sq-42 St/Port Authority Bus Terminal,1 2 3 7 A C E N Q R W S
M,14 St-Union Sq,4 5 6 L N Q R W
M,34 St-Herald Sq,B D F M N Q R W
M,28 St,R W
M,23 St,R W
M,8 St-NYU,R W
M,Prince St,R W
M,Canal St,6 J Z N Q R W
M,City Hall,R W
M,Chambers St/WTC/Park Place/Cortlandt St,2 3 A C E R W
M,Rector St,R W
M,Whitehall St-South Ferry,1 R W
B,Borough Hall/Court St,2 3 4 5 R
B,Jay St-MetroTech,A C F R
B,DeKalb Av,B Q R
B,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
B,Union St,R
B,Greenpoint Av,G
B,4 Av-9 St,F G R
B,Prospect Av,R
B,25 St,R
B,36 St,D N R
B,45 St,R
B,53 St,R
B,59 St,N R
B,Bay Ridge Av,R
B,77 St,R
B,86 St,R
B,Bay Ridge-95 St,R
B,7 Av,B Q
B,Prospect Park,B Q S
B,Parkside Av,Q
B,Church Av,B Q
B,Beverley Rd,Q
B,Cortelyou Rd,Q
B,Newkirk Plaza,B Q
B,Avenue H,Q
B,Avenue J,Q
B,Avenue M,Q
B,Kings Hwy,B Q
B,Avenue U,Q
B,Ave U,Q
B,Neck Rd,Q
B,Sheepshead Bay,B Q
B,Brighton Beach,B Q
B,Ocean Pkwy,Q
B,W 8 St-NY Aquarium,F Q
B,Coney Island-Stillwell Av,D F N Q
B,9 Av,D
B,Fort Hamilton Pkwy,D
B,50 St,D
B,55 St,D
B,62 St/New Utrecht Av,D N
B,71 St,D
B,79 St,D
B,18 Av,D
B,20 Av,D
B,Bay Pkwy,D
B,25 Av,D
B,Bay 50 St,D
B,8 Av,N
B,Fort Hamilton Pkwy,N
B,18 Av,N
B,20 Av,N
B,Bay Pkwy,N
B,Kings Hwy,N
B,Avenue U,N
B,86 St,N
Q,121 St,J Z
Q,111 St,J
Q,104 St,J Z
Q,Woodhaven Blvd,J Z
Q,85 St-Forest Pkwy,J
Q,75 St-Elderts Ln,J Z
B,Cypress Hills,J
B,Crescent St,J Z
B,Norwood Av,J Z
B,Cleveland St,J
B,Van Siclen Av,J Z
B,Alabama Av,J Z
B,Chauncey St,J Z
B,Halsey St,J
B,Gates Av,J Z
B,Kosciuszko St,J
B,Myrtle Av,M J Z
B,Flushing Av,M J
B,Lorimer St,M J
B,Hewes St,M J
B,Marcy Av,M J Z
M,Delancey St-Essex St,F M J Z
M,Bowery,J Z
M,Brooklyn Bridge-City Hall/Chambers St,4 5 6 J Z
M,Fulton St,2 3 4 5 A C J Z
M,Broad St,J Z
Q,Middle Village-Metropolitan Av,M
Q,Fresh Pond Rd,M
Q,Forest Av,M
Q,Seneca Av,M
B,Knickerbocker Av,M
B,Central Av,M
M,14 St/8 Av,A C E L
M,14 St/6 Av,1 2 3 L F M
M,3 Av,L
M,1 Av,L
B,Bedford Av,L
B,Metropolitan Av/Lorimer St,G L
B,Graham Av,L
B,Grand St,L
B,Montrose Av,L
B,Morgan Av,L
B,Jefferson St,L
B,DeKalb Av,L
Q,Myrtle-Wyckoff Avs,M L
B,Halsey St,L
Q,Halsey St,L
B,Wilson Av,L
B,Bushwick Av-Aberdeen St,L
B,Atlantic Av,L
B,Sutter Av,L
B,Livonia Av,L
B,New Lots Av,L
B,East 105 St,L
B,Canarsie-Rockaway Pkwy,L
B,Franklin Av,C S
B,Park Pl,S
B,Franklin Av-Medgar Evers College/Botanic Garden,2 3 4 5 S
M,Inwood-207 St,A
M,Dyckman St,A
M,190 St,A
M,181 St,A
M,175 St,A
M,168 St-Washington Hts,1 A C
M,163 St-Amsterdam Av,C
M,155 St,C
M,145 St,A C B D
M,135 St,C B
M,125 St,A C B D
M,116 St,C B
M,Cathedral Pkwy (110 St),C B
M,103 St,C B
M,96 St,C B
M,86 St,C B
M,81 St-Museum of Natural History,C B
M,72 St,C B
M,59 St-Columbus Circle,1 A C B D
M,50 St,C E
M,34 St-Penn Station,A C E
M,23 St,C E
M,W 4 St-Wash Sq,A C E B D F M
M,Spring St,C E
M,Canal St,A C E
B,High St,A C
B,Hoyt-Schermerhorn Sts,A C G
B,Lafayette Av,C
B,Clinton-Washington Avs,C
B,Nostrand Av,A C
B,Kingston-Throop Avs,C
B,Utica Av,A C
B,Ralph Av,C
B,Rockaway Av,C
B,Broadway Junction,A C J Z L
B,Liberty Av,C
B,Van Siclen Av,C
B,Shepherd Av,C
B,Euclid Av,A C
B,Grant Av,A
Q,80 St,A
Q,88 St,A
Q,Rockaway Blvd,A
Q,104 St,A
Q,111 St,A
Q,Ozone Park-Lefferts Blvd,A
Q,Aqueduct Racetrack,A
Q,Aqueduct-N Conduit Av,A
Q,Howard Beach-JFK Airport,A
Q,Broad Channel,A S
Q,Beach 90 St,A S
Q,Beach 98 St,A S
Q,Beach 105 St,A S
Q,Rockaway Park-Beach 116 St,A S
Q,Beach 67 St,A
Q,Beach 60 St,A
Q,Beach 44 St,A
Q,Beach 36 St,A
Q,Beach 25 St,A
Q,Far Rockaway-Mott Av,A
Bx,Norwood-205 St,D
Bx,Bedford Park Blvd,B D
Bx,Kingsbridge Rd,B D
Bx,Fordham Rd,B D
Bx,182-183 Sts,B D
Bx,Tremont Av,B D
Bx,174-175 Sts,B D
Bx,170 St,B D
Bx,167 St,B D
Bx,161 St-Yankee Stadium,4 B D
M,155 St,B D
Q,21 St-Queensbridge,F
M,Roosevelt Island,F
M,Lexington Av/63 St,F Q
M,57 St,F
M,47-50 Sts-Rockefeller Ctr,B D F M
M,42 St-Bryant Pk/5 Av,7 B D F M
M,34 St-Herald Square,B D F M N Q R W
M,23 St,F M
M,Broadway-Lafayette St/Bleecker St,6 B D F M
M,Grand St,B D
M,2 Av,F
M,East Broadway,F
B,York St,F
B,Bergen St,F G
B,Carroll St,F G
B,Smith-9 Sts,F G
B,7 Av,F G
B,15 St-Prospect Park,F G
B,Fort Hamilton Pkwy,F G
B,Church Av,F G
B,Ditmas Av,F
B,18 Av,F
B,Avenue I,F
B,Bay Pkwy,F
B,Avenue N,F
B,Avenue P,F
B,Kings Hwy,F
B,Avenue U,F
B,Avenue X,F
B,Neptune Av,F
Q,Jamaica-179 St,F
Q,169 St,F
Q,Parsons Blvd,F
Q,Sutphin Blvd,F
Q,Briarwood,E F
Q,Kew Gardens-Union Tpke,E F
Q,75 Av,E F
Q,Forest Hills-71 Av,E F M R
Q,67 Av,M R
Q,63 Dr-Rego Park,M R
Q,Woodhaven Blvd,M R
Q,Grand Av-Newtown,M R
Q,Elmhurst Av,M R
Q,Jackson Hts-Roosevelt Av/74 St-Broadway,7 E F M R
Q,65 St,M R
Q,Northern Blvd,M R
Q,46 St,M R
Q,Steinway St,M R
Q,36 St,M R
Q,Queens Plaza,E M R
Q,Court Sq-23 St,7 E M G
M,Lexington Av/51-53 Sts,6 E M
Q,Lexington Av/51-53 Sts,6 E M
M,5 Av/53 St,E M
M,7 Av,E B D
Q,Jamaica Center-Parsons/Archer,E J Z
Q,Sutphin Blvd-Archer Av-JFK Airport,E J Z
Q,Jamaica-Van Wyck,E
Q,21 St,G
B,Nassau Av,G
B,Broadway,G
B,Flushing Av,G
B,Myrtle-Willoughby Avs,G
B,Bedford-Nostrand Avs,G
B,Classon Av,G
B,Clinton-Washington Avs,G
B,Fulton St,G
Bx,Van Cortlandt Park-242 St,1
Bx,238 St,1
Bx,231 St,1
M,Marble Hill-225 St,1
M,215 St,1
M,207 St,1
M,Dyckman St,1
M,191 St,1
M,181 St,1
M,157 St,1
M,145 St,1
M,137 St-City College,1
M,125 St,1
M,116 St-Columbia University,1
M,Cathedral Pkwy (110 St),1
M,103 St,1
M,96 St,1 2 2003
M,86 St,1
M,79 St,1
M,72 St,1 2 2003
M,66 St-Lincoln Center,1
M,50 St,1
M,Times Sq-42 St,1 2 3 7 A C E N Q R W S
M,34 St-Penn Station,1 2 2003
M,28 St,1
M,23 St,1
M,18 St,1
M,Christopher St-Stonewall,1
M,Houston St,1
M,Canal St,1
M,Franklin St,1
M,Chambers St,1 2 2003
M,WTC Cortlandt,1
M,Rector St,1
M,Wall St,2 3
B,Clark St,2 3
B,Hoyt St,2 3
B,Nevins St,2 3 4 5
B,Bergen St,2 3
B,Grand Army Plaza,2 3
B,Eastern Pkwy-Brooklyn Museum,2 3
B,Nostrand Av,3
B,Kingston Av,3
B,Crown Hts-Utica Av,3 4
B,Sutter Av-Rutland Rd,3
B,Saratoga Av,3
B,Rockaway Av,3
B,Junius St,3
B,Pennsylvania Av,3
B,Van Siclen Av,3
B,New Lots Av,3
B,President St-Medgar Evers College,2 5
